DATAFLOW,FORESTRY_AGR_AGR_001,AREA_AGR_AGR_001,YEAR_AGR_AGR_001,OBS_VALUE,OBS_STATUS
STATSNZ:AGR_AGR_001(1.0),6052,6,2009,1767643,
STATSNZ:AGR_AGR_001(1.0),6052,7,2015,167683,
STATSNZ:AGR_AGR_001(1.0),6052,7,2016,143923,
STATSNZ:AGR_AGR_001(1.0),6052,8,2007,1287548,
STATSNZ:AGR_AGR_001(1.0),6052,8,2008,1268303,
STATSNZ:AGR_AGR_001(1.0),6052,9,2015,559787,
STATSNZ:AGR_AGR_001(1.0),6053,1,2009,4130,
STATSNZ:AGR_AGR_001(1.0),6053,10,2016,37694,
STATSNZ:AGR_AGR_001(1.0),6053,10,2017,40559,
STATSNZ:AGR_AGR_001(1.0),6053,12,2012,,c
STATSNZ:AGR_AGR_001(1.0),6053,13,2010,1419,
STATSNZ:AGR_AGR_001(1.0),6053,15,2010,2269,
STATSNZ:AGR_AGR_001(1.0),6053,16,2009,2186,
STATSNZ:AGR_AGR_001(1.0),6053,17,2017,1793,
STATSNZ:AGR_AGR_001(1.0),6053,19,2012,11622,
STATSNZ:AGR_AGR_001(1.0),6053,19,2013,11555,
STATSNZ:AGR_AGR_001(1.0),6053,2,2006,1499,
STATSNZ:AGR_AGR_001(1.0),6053,2,2015,1216,
STATSNZ:AGR_AGR_001(1.0),6053,2,2016,1162,
STATSNZ:AGR_AGR_001(1.0),6053,3,2008,8300,
STATSNZ:AGR_AGR_001(1.0),6053,4,2015,9315,
STATSNZ:AGR_AGR_001(1.0),6053,4,2016,11269,
STATSNZ:AGR_AGR_001(1.0),6053,5,2007,1551,
STATSNZ:AGR_AGR_001(1.0),6053,6,2013,4270,
STATSNZ:AGR_AGR_001(1.0),6053,6,2015,3951,
STATSNZ:AGR_AGR_001(1.0),6053,8,2012,2440,
STATSNZ:AGR_AGR_001(1.0),6053,8,2013,2484,
STATSNZ:AGR_AGR_001(1.0),6050,11,2017,250,
STATSNZ:AGR_AGR_001(1.0),6050,13,2016,,c
STATSNZ:AGR_AGR_001(1.0),6050,15,2015,216,
STATSNZ:AGR_AGR_001(1.0),6050,16,2018,1068,
